name,slug,description,shortDescription,category,link,featured,difficulty,score,tier,bestFor,tags
Opera Aria,opera-aria,Opera browser's built-in AI assistant powered by ChatGPT and Claude for browsing assistance and chat.,AI assistant built into Opera browser,productivity,https://opera.com/features/aria,False,Beginner,79,curated,Opera users who want a browser-integrated AI without extensions.,"fast, conversational"
Microsoft Copilot,microsoft-copilot,"Microsoft's AI assistant integrated across Windows, Office 365, Teams, and Bing with GPT-4 and web search.",Microsoft's AI assistant across all its products,productivity,https://copilot.microsoft.com,True,Beginner,90,core,"Microsoft 365 users wanting AI woven into Word, Excel, Teams, and more.","trending, workflow, smart"
Copilot for Microsoft 365,m365-copilot,"Enterprise AI layer inside Word, Excel, PowerPoint, Teams, and Outlook powered by GPT-4 with business data context.","AI across Word, Excel, PowerPoint, Teams & Outlook",productivity,https://microsoft.com/microsoft-365/copilot,False,Intermediate,89,core,Enterprise teams wanting AI productivity gains across all Office apps.,"workflow, smart"
Google Workspace AI,google-workspace-ai,"Duet AI features across Google Docs, Sheets, Slides, Gmail, and Meet for writing, summarizing, and generating content.","AI across Google Docs, Sheets, Slides & Gmail",productivity,https://workspace.google.com/ai,False,Beginner,87,core,Teams using Google Workspace who want AI assistance without switching apps.,"workflow, fast"
Fireflies.ai,fireflies-ai,"AI meeting recorder that automatically joins calls to transcribe, summarize, and analyze conversations with CRM sync.",AI meeting recorder and notes with CRM sync,productivity,https://fireflies.ai,False,Beginner,88,curated,Sales teams and managers who need searchable meeting records and CRM updates.,"workflow, conversational"
Fathom,fathom-ai,"Free AI meeting notetaker for Zoom with highlight clipping, summary generation, and CRM integration.",Free AI Zoom meeting notes and highlights,productivity,https://fathom.video,False,Beginner,87,curated,Sales reps and consultants on Zoom who want automatic meeting summaries.,"fast, workflow"
Loom AI,loom-ai,"Async video messaging with AI features for automatic transcription, titling, filler word removal, and summary generation.",AI-enhanced async video messaging,video-audio,https://loom.com,False,Beginner,86,curated,Remote teams using async video communication and documentation.,"video, workflow"
Intercom Fin,intercom-fin,Intercom's AI customer support agent powered by GPT-4 that resolves complex support tickets instantly.,AI customer support agent for instant ticket resolution,productivity,https://intercom.com/fin,False,Intermediate,87,curated,SaaS companies wanting to deflect support tickets with accurate AI responses.,"workflow, smart"
Zendesk AI,zendesk-ai,"AI features in Zendesk including automated ticket categorization, suggested responses, and customer intent detection.",AI-powered customer service inside Zendesk,productivity,https://zendesk.com/ai,False,Intermediate,83,curated,Support teams using Zendesk who want to improve resolution speed.,workflow
Freshdesk AI,freshdesk-ai,"Freddy AI inside Freshdesk for automated ticket deflection, canned response suggestions, and customer sentiment analysis.",AI customer support inside Freshdesk,productivity,https://freshworks.com/freshdesk/ai,False,Intermediate,81,curated,SMB support teams using Freshdesk wanting AI-powered ticket automation.,workflow
Drift AI,drift-ai,"Conversational marketing platform with AI chatbots that qualify leads, book meetings, and personalize website experiences.",AI conversational marketing and lead qualification,productivity,https://drift.com,False,Intermediate,82,curated,B2B marketing teams wanting to capture and qualify leads 24/7 on their website.,"marketing, conversational"
Klaviyo AI,klaviyo-ai,"AI features in Klaviyo for predictive customer lifetime value, segment suggestions, and AI-generated email copy.",AI email marketing inside Klaviyo,text-writing,https://klaviyo.com/ai,False,Intermediate,82,curated,E-commerce brands using Klaviyo for personalized email marketing.,marketing
Surfer SEO,surfer-seo,AI content optimization tool analyzing top-ranking pages and guiding writers to improve on-page SEO scores in real time.,AI-driven on-page SEO content optimization,text-writing,https://surferseo.com,False,Intermediate,86,curated,SEO specialists and content marketers writing for search engine rankings.,"marketing, writing"
Frase,frase-io,"AI SEO research and writing tool that generates content briefs, outlines, and optimized articles from keyword queries.",AI content briefs and SEO writing assistant,text-writing,https://frase.io,False,Intermediate,82,curated,Content writers and SEO teams who need research-backed content at scale.,"writing, marketing"
Anyword,anyword,"Performance AI writing platform that predicts copy effectiveness scores for ads, emails, and landing pages before publishing.",AI copywriting with performance score predictions,text-writing,https://anyword.com,False,Intermediate,81,curated,Performance marketers who want to A/B test copy before spending ad budget.,"marketing, writing"
Hypotenuse AI,hypotenuse-ai,AI content generation platform specializing in e-commerce product descriptions and batch content creation at scale.,AI product descriptions for e-commerce at scale,text-writing,https://hypotenuse.ai,False,Intermediate,79,curated,E-commerce brands and agencies needing high-volume product content generation.,"writing, e-commerce"
Tome AI Copilot,tome-copilot,"AI research and writing assistant that generates research-backed content, citations, and data points for any topic.",AI research writing with automatic citations,research,https://tome.app,False,Beginner,82,curated,"Content teams and researchers who need cited, factual long-form content.","writing, academic"
Jenni AI,jenni-ai,"AI writing assistant tailored for academic papers and essays with autocomplete, citations, and paraphrase tools.",AI academic writing and paper assistant,text-writing,https://jenni.ai,False,Beginner,81,curated,Students and academics writing papers and dissertations.,"writing, academic"
AI21 Labs Jamba,ai21-jamba,AI21's hybrid SSM-Transformer model delivering long context processing with high efficiency and low inference cost.,Efficient hybrid LLM for long document processing,text-writing,https://ai21.com,False,Advanced,83,core,Enterprise developers needing efficient processing of very long documents.,"technical, smart"
Mistral Le Chat,le-chat,Mistral's free consumer chat interface providing access to their latest models with web search and image generation.,Mistral's free chat interface with web search,text-writing,https://mistral.ai/le-chat,False,Beginner,84,curated,"Users who want a fast, capable, and privacy-respecting ChatGPT alternative.","conversational, fast"
Pika 2.0,pika-2,Pika's updated video generation with Pikaffects for adding wild physical transformations to any video or image.,AI video generation with wild physical effects,video-audio,https://pika.art,False,Beginner,87,curated,"Social media creators who want viral, eye-catching AI video effects.","video, creative, magic"
Invideo AI,invideo-ai,"AI video creation platform turning text scripts into fully edited videos with stock footage, voiceover, and captions.",Text to fully edited video with AI,video-audio,https://invideo.io,False,Beginner,84,curated,Marketers and creators who want to produce faceless YouTube or social videos fast.,"video, fast"
Veed.io,veed-io,"Browser-based video editor with AI tools for automatic subtitles, noise removal, background removal, and eye contact correction.",Browser video editor with AI subtitle and enhancement tools,video-audio,https://veed.io,False,Beginner,85,curated,"Content creators who need fast, browser-based video editing with AI enhancements.","video, fast"
Topaz Video AI,topaz-video-ai,"Desktop AI video enhancement tool for upscaling, frame interpolation, and noise reduction of video footage.",AI video upscaling and enhancement for filmmakers,video-audio,https://topazlabs.com/topaz-video-ai,False,Intermediate,88,curated,Filmmakers and video professionals restoring or upscaling footage to 4K/8K.,"video, technical"
Krisp AI,krisp-ai,"AI noise-cancelling app that removes background noise, echo, and room reverberation from microphone and speaker audio in real time.",Real-time AI noise cancellation for calls,video-audio,https://krisp.ai,False,Beginner,90,curated,Remote workers and podcasters who work in noisy environments.,"audio, fast"
Cleanvoice AI,cleanvoice-ai,"AI audio editor that automatically removes filler words, stutters, mouth sounds, and dead air from podcast recordings.",AI filler word and noise removal for podcasts,video-audio,https://cleanvoice.ai,False,Beginner,83,curated,Podcasters who want clean audio without spending hours in manual editing.,"audio, fast"
Speechify,speechify,"AI text-to-speech reader that converts any text, PDF, or webpage into high-quality spoken audio for listening on the go.",AI text-to-speech reader for any content,productivity,https://speechify.com,False,Beginner,86,curated,"Busy professionals, students with dyslexia, and commuters who prefer listening.","audio, fast"
Play.ht,play-ht,"Ultra-realistic AI voice generator with 900+ voices, voice cloning, and podcast creation tools with conversational style.",Ultra-realistic AI voice cloning and generation,video-audio,https://play.ht,False,Beginner,85,curated,"Podcasters, app developers, and content creators needing diverse AI voices.",audio
Resemble AI,resemble-ai,"Enterprise voice AI platform for cloning voices, generating speech, and adding AI voice to production applications.",Enterprise AI voice cloning and speech synthesis,video-audio,https://resemble.ai,False,Intermediate,84,curated,Enterprises building voice-enabled applications and games.,"audio, technical"
Dora AI,dora-ai,"AI website builder that generates 3D animated, interactive websites from text prompts without any design or code skills.",AI 3D animated website builder from text,design,https://dora.run,False,Beginner,85,curated,"Founders and creators who want visually stunning, animated portfolio sites.","design, creative"
Webflow AI,webflow-ai,AI writing and content generation features inside Webflow for populating CMS collections and building pages faster.,AI content generation inside Webflow CMS,design,https://webflow.com,False,Intermediate,83,curated,Webflow designers and developers building content-heavy websites.,"design, coding"
Wix AI,wix-ai,"Wix's AI website builder that creates a complete website with pages, copy, and images from a business description.",AI website creation from a business description,design,https://wix.com/ai-website-builder,False,Beginner,81,curated,Small business owners wanting a website built in minutes without technical skills.,"design, fast"
Squarespace AI,squarespace-ai,Blueprint AI inside Squarespace that generates a website layout and copy personalized to your business type.,AI website layout and copy generator inside Squarespace,design,https://squarespace.com,False,Beginner,80,curated,"Creatives, freelancers, and small business owners building their first website.","design, fast"
Runway Gen-3 Alpha,runway-gen3,"Runway's latest video generation model with significantly improved coherence, motion quality, and visual fidelity.",Runway's most advanced video generation model,video-audio,https://runwayml.com,False,Intermediate,92,curated,Professional filmmakers wanting cutting-edge AI video generation.,"video, magic"
Haiper AI,haiper-ai,"Fast and affordable AI video generation platform with strong motion and realism, created by former Google DeepMind researchers.",Fast affordable AI video generation,video-audio,https://haiper.ai,False,Beginner,83,curated,Content creators who want quality AI video generation on a budget.,"video, fast"
Visme,visme,"AI-powered visual communication platform for creating presentations, infographics, reports, and data visualizations.",AI visual communication for presentations and infographics,design,https://visme.co,False,Beginner,83,curated,Marketing teams and educators needing data-rich visual presentations.,"design, data"
Piktochart,piktochart,AI infographic maker that transforms raw data and text into polished visual infographics and reports.,AI infographic and visual report maker,design,https://piktochart.com,False,Beginner,80,curated,Marketers and educators who need to visualize data as infographics.,"design, data"
Infogram,infogram,Data visualization and infographic tool with AI-powered chart recommendations and real-time data connections.,AI-powered data visualization and infographics,data-analytics,https://infogram.com,False,Beginner,79,curated,"Journalists, marketers, and analysts who need embeddable data visualizations.","data, design"
Vizcom,vizcom,AI rendering tool for industrial designers and engineers that turns rough sketches into photorealistic 3D product renders.,AI sketch to photorealistic product rendering,design,https://vizcom.ai,False,Intermediate,85,curated,Industrial designers and product engineers who want rapid concept visualization.,"design, technical"
Spline AI,spline-ai,Browser-based 3D design tool with AI-powered object generation and interactive 3D web experiences.,AI 3D design and interactive web experiences,design,https://spline.design,False,Intermediate,84,curated,Designers and developers creating interactive 3D elements for web interfaces.,"design, technical"
Leia Pix,leia-pix,AI tool that converts standard 2D photos into animated 3D depth videos for immersive visual content.,Convert 2D photos into 3D depth animations,image-generation,https://convert.leiapix.com,False,Beginner,80,curated,Photographers and content creators who want to give their photos depth and life.,"creative, magic"
Palette.fm,palette-fm,AI photo colorization tool that automatically adds historically accurate and aesthetically pleasing colors to black-and-white photos.,AI colorization for black and white photos,image-generation,https://palette.fm,False,Beginner,79,curated,Photography enthusiasts and historians restoring old black-and-white imagery.,"creative, magic"
Remove.bg,remove-bg,"Industry-standard one-click background remover for images, used by millions for e-commerce and design workflows.",One-click AI background removal for images,image-generation,https://remove.bg,False,Beginner,87,curated,E-commerce sellers and designers needing instant transparent backgrounds.,"e-commerce, fast"
Cleanup.pictures,cleanup-pictures,"AI object removal tool that magically erases any unwanted object, person, or text from photos with generative fill.",AI magic eraser for removing objects from photos,image-generation,https://cleanup.pictures,False,Beginner,83,curated,Photographers and real estate agents removing distracting elements from images.,"magic, fast"
Lensa AI,lensa-ai,AI photo editing app famous for its Magic Avatars feature that creates stylized AI portrait art from selfies.,AI photo app for stylized portrait avatars,image-generation,https://prisma-ai.com/lensa,False,Beginner,81,curated,"Consumers wanting personalized, stylized AI portrait art for social media.",creative
Remini,remini-ai,"AI photo enhancer that restores blurry, low-resolution, and damaged old photos to sharp, HD quality.",AI photo restoration and enhancement tool,image-generation,https://remini.ai,False,Beginner,83,curated,Anyone wanting to restore old family photos or improve low-quality images.,"magic, fast"
Topaz Photo AI,topaz-photo-ai,"Desktop AI photography suite combining upscaling, noise reduction, and sharpening to produce print-ready image quality.",AI photo enhancement suite for photographers,image-generation,https://topazlabs.com/topaz-photo-ai,False,Intermediate,89,curated,Professional photographers who want the highest quality image processing.,"technical, design"
Luminar Neo,luminar-neo,"AI photo editor with sky replacement, portrait enhancement, background removal, and GenErase powered by AI.",AI photo editing with sky replacement and portrait tools,image-generation,https://skylum.com/luminar-neo,False,Intermediate,85,curated,Hobbyist and professional photographers wanting powerful AI edits without Photoshop complexity.,"design, creative"
Lightroom AI,lightroom-ai,"Adobe Lightroom's AI-powered masking, Denoise, background removal, and generative content removal tools.",AI masking and enhancement tools inside Lightroom,image-generation,https://adobe.com/products/photoshop-lightroom,False,Intermediate,88,curated,Photographers using Lightroom who want AI to speed up their editing workflow.,"design, technical"
Clipdrop,clipdrop,"Suite of AI image tools by Stability AI including uncrop, relight, background removal, and image upscaling.",Suite of AI image editing tools by Stability AI,image-generation,https://clipdrop.co,False,Beginner,85,curated,Designers and content creators who need a versatile image editing toolkit.,"design, magic"
Adobe Photoshop AI,photoshop-ai,Adobe Photoshop's Generative Fill and Generative Expand features powered by Firefly for non-destructive AI editing.,Generative AI fill and expand inside Photoshop,image-generation,https://adobe.com/products/photoshop,False,Intermediate,92,core,Professional designers and photographers already working in Photoshop.,"design, magic"
Creatie,creatie-ai,"AI-native UI design tool with instant component generation, AI-powered design critic, and design system intelligence.",AI-native UI design tool with smart components,design,https://creatie.ai,False,Intermediate,82,curated,UI designers who want AI embedded throughout their entire design workflow.,"design, coding"
Galileo AI,galileo-ai,"AI UI design generator that produces editable, high-fidelity UI designs from text descriptions in seconds.",AI generates high-fidelity UI designs from text,design,https://galileo-ai.com,False,Beginner,83,curated,Product teams who want instant visual UI concepts from a text brief.,"design, fast"
Diagram,diagram-ai,Figma plugin suite with Genius for in-context design generation and AI-powered design tools built for Figma.,AI design generation plugins for Figma,design,https://diagram.com,False,Intermediate,82,curated,Figma power users who want AI generation deeply integrated into their canvas.,design
Attention,attention-ai,"AI sales assistant that listens to sales calls, fills CRM fields automatically, and generates personalized follow-up emails.",AI CRM filling and follow-up for sales calls,productivity,https://attention.com,False,Intermediate,83,curated,Account executives and sales managers who want CRM data without manual entry.,"workflow, marketing"
Gong,gong-ai,"Revenue intelligence platform using AI to analyze sales calls, track deal health, and coach reps on winning behaviors.",AI revenue intelligence for sales teams,data-analytics,https://gong.io,False,Advanced,89,core,Sales leaders who want data-driven coaching and deal risk assessment.,"data, smart"
Chorus.ai,chorus-ai,"ZoomInfo's AI conversation intelligence platform for recording, transcribing, and analyzing sales calls for coaching.",AI conversation intelligence for sales coaching,data-analytics,https://chorus.ai,False,Intermediate,83,curated,Sales teams who need structured call review and coaching workflows.,"data, conversational"
Coda AI,coda-ai,"AI features inside Coda docs for summarizing, generating tables, writing assistants, and automating document workflows.",AI writing and automation inside Coda docs,productivity,https://coda.io/ai,False,Intermediate,82,curated,Teams who use Coda as their central knowledge hub and want AI throughout.,"docs, workflow"
Craft AI,craft-ai,AI-enhanced note-taking and document app for Apple devices with smart writing assistance and document organization.,AI-powered notes and documents for Apple users,productivity,https://craft.do,False,Beginner,83,curated,Mac and iPad users who want a beautiful document creation experience with AI.,"docs, fast"
Reflect AI,reflect-ai,"AI note-taking app with bi-directional links, network graph, and AI assistant for connecting and synthesizing ideas.",AI networked note-taking and knowledge synthesis,productivity,https://reflect.app,False,Intermediate,82,curated,Knowledge workers and thinkers building a long-term second brain.,"docs, smart"
Roam Research,roam-research,Networked thought tool with bi-directional linking for building a personal knowledge graph and second brain.,Networked knowledge graph for connected thinking,productivity,https://roamresearch.com,False,Advanced,83,curated,"Academics, researchers, and writers who think in deeply interconnected ideas.","docs, technical"
Logseq,logseq,"Open-source, privacy-first outliner and knowledge base with local storage, graphs, and AI plugin support.",Open-source local-first knowledge graph,productivity,https://logseq.com,False,Advanced,83,curated,"Privacy-conscious knowledge workers who want a free, self-hosted second brain.","open-source, docs"
Obsidian AI,obsidian-ai,"Obsidian with AI plugins like Smart Connections enabling semantic search, AI chat, and note linking across your vault.",AI-powered local knowledge base with Obsidian plugins,productivity,https://obsidian.md,False,Advanced,86,curated,"Technical writers and researchers who want a locally-stored, highly customizable PKM.","open-source, docs, technical"
Airtable AI,airtable-ai,"AI features inside Airtable for generating field content, summarizing records, and creating automations with natural language.",AI content generation and automation in Airtable,productivity,https://airtable.com/ai,False,Intermediate,83,curated,Operations teams who use Airtable and want AI to speed up database management.,"workflow, data"
Hex AI,hex-ai,"AI data notebook that allows analysts to write SQL, Python, and visualizations from natural language prompts.",AI-powered collaborative data notebook,data-analytics,https://hex.tech,False,Intermediate,85,curated,"Data analysts and scientists who want AI assistance across SQL, Python, and charts.","data, coding"
Deepnote AI,deepnote-ai,"Collaborative data notebook with AI code generation, SQL assistance, and AI-powered cell suggestions for data work.",AI collaborative data science notebook,data-analytics,https://deepnote.com,False,Intermediate,83,curated,Data science teams who want collaborative notebooks with built-in AI assistance.,"data, coding"
Databricks AI,databricks-ai,"Enterprise lakehouse platform with AI/BI features, Unity Catalog, and DBRX open-source LLM for data engineering.",Enterprise AI and data lakehouse platform,data-analytics,https://databricks.com,False,Advanced,88,core,Enterprise data engineering and ML teams building large-scale data pipelines.,"data, technical"
Snowflake Cortex,snowflake-cortex,Snowflake's AI features for running LLMs directly on data inside the data cloud without moving data out.,AI inference on data inside Snowflake,data-analytics,https://snowflake.com/en/data-cloud/cortex,False,Advanced,84,curated,Data engineers who want to run AI on their Snowflake data without exporting it.,"data, technical"
Glean,glean-ai,"Enterprise AI search and knowledge discovery platform connecting Slack, Drive, Confluence, and 100+ work apps.",AI enterprise search across all work apps,productivity,https://glean.com,False,Intermediate,85,curated,Enterprise teams who waste time searching across fragmented knowledge silos.,"workflow, smart"
Guru,guru-ai,AI knowledge management platform with a browser extension that surfaces company knowledge inline wherever you work.,AI company knowledge base that surfaces inline,productivity,https://getguru.com,False,Intermediate,82,curated,Customer support and sales teams who need instant access to company knowledge.,"workflow, docs"
Dashworks,dashworks-ai,AI work assistant that searches across all your company apps to answer questions from your organizational knowledge.,AI work assistant that knows your company's data,productivity,https://dashworks.ai,False,Intermediate,80,curated,Teams who want an internal AI that knows everything about their organization.,"workflow, smart"
Coze,coze-ai,"ByteDance's AI bot building platform for creating custom chatbots with plugins, knowledge bases, and multi-agent workflows.",No-code AI chatbot builder by ByteDance,code-dev,https://coze.com,False,Intermediate,82,curated,"Developers and creators building custom AI bots for Telegram, Discord, and web.","coding, workflow"
Botpress,botpress,Open-source AI chatbot development platform for building enterprise-grade conversational AI agents and flows.,Open-source enterprise AI chatbot platform,code-dev,https://botpress.com,False,Advanced,83,curated,"Developers and enterprises building scalable, production-ready chatbots.","open-source, coding, technical"
Voiceflow,voiceflow,Visual design tool for building and deploying AI voice and chat agents for customer-facing applications.,Visual AI voice and chat agent builder,code-dev,https://voiceflow.com,False,Intermediate,84,curated,Conversational AI designers and product managers building voice or chat experiences.,"conversational, technical"
Steamship,steamship,Managed backend infrastructure for deploying LLM-powered bots and AI agents with persistent memory and tool use.,Managed backend for AI agents and bots,code-dev,https://steamship.com,False,Advanced,79,curated,AI developers who want managed infra for deploying production AI agents.,"technical, coding"
Vertex AI,vertex-ai,"Google Cloud's end-to-end ML platform for training, deploying, and managing models including Gemini API access.",Google Cloud's end-to-end AI/ML platform,code-dev,https://cloud.google.com/vertex-ai,False,Advanced,86,core,Enterprise AI teams building and scaling ML models on Google Cloud.,"technical, data"
AWS Bedrock,aws-bedrock,"AWS managed service for accessing foundation models from Anthropic, Cohere, Meta, and others via a unified API.",AWS managed access to leading foundation models,code-dev,https://aws.amazon.com/bedrock,False,Advanced,85,core,AWS-native teams building AI applications with enterprise security and compliance.,"technical, coding"
Azure OpenAI,azure-openai,"Microsoft Azure's managed OpenAI API service with enterprise security, private networking, and compliance controls.",Enterprise OpenAI API with Azure security,code-dev,https://azure.microsoft.com/en-us/products/ai-services/openai-service,False,Advanced,86,core,Enterprise Microsoft customers needing OpenAI models with compliance guarantees.,"technical, coding"
Vercel AI SDK,vercel-ai-sdk,Open-source TypeScript library for building AI-powered web applications with streaming UI and model provider abstraction.,TypeScript SDK for AI-powered web apps,code-dev,https://sdk.vercel.ai,False,Advanced,85,curated,Frontend and full-stack developers building AI-native web applications with React.,"open-source, coding, technical"
Lmstudio,lmstudio,"Desktop app for downloading, running, and chatting with open-source LLMs locally without internet or cloud costs.",Run local LLMs on your desktop with a clean UI,code-dev,https://lmstudio.ai,False,Intermediate,87,curated,Developers and enthusiasts who want to experiment with local LLMs privately.,"open-source, technical"
Ollama,ollama,"Simple CLI and API for running open-source LLMs like Llama 3, Mistral, and Phi locally on Mac, Linux, and Windows.",Run open-source LLMs locally with a simple CLI,code-dev,https://ollama.ai,False,Intermediate,89,curated,Developers who want to run and integrate local LLMs into their applications.,"open-source, technical, coding"
Promptbase,promptbase,"Marketplace for buying and selling high-quality prompts for Midjourney, ChatGPT, Stable Diffusion, and other AI tools.",Marketplace for buying and selling AI prompts,research,https://promptbase.com,False,Beginner,75,curated,Creators who want ready-made expert prompts or who want to monetize their prompting skills.,creative
PromptLayer,promptlayer,"LLM observability and prompt management platform for logging, tracking, and versioning prompts in production.",Prompt management and LLM observability platform,code-dev,https://promptlayer.com,False,Advanced,80,curated,AI engineers who need structured prompt versioning and production monitoring.,"technical, coding"
Brainlox,brainlox,AI tutoring platform for coding education with interactive programming courses and AI-assisted learning paths.,AI-powered coding tutoring and courses,research,https://brainlox.com,False,Beginner,75,curated,Beginner programmers who want AI-guided coding education.,"academic, coding"
Explainpaper,explainpaper,"Upload any research paper and ask AI to explain complex concepts, jargon, and findings in plain English.",AI explanations for complex research papers,research,https://explainpaper.com,False,Beginner,79,curated,Students and non-specialists trying to understand technical academic papers.,"academic, smart"
SciSpace,scispace,"AI research tool to search papers, get explanations of research concepts, and generate literature review summaries.",AI literature search and research paper explainer,research,https://typeset.io,False,Beginner,83,curated,"Academics, grad students, and curious minds navigating scientific research.","academic, smart"
Lumosity AI,lumosity,Cognitive training app with AI-adapted brain games that personalize difficulty based on performance patterns.,AI-personalized brain training and cognitive games,productivity,https://lumosity.com,False,Beginner,76,curated,"Individuals looking to improve memory, attention, and cognitive flexibility.",smart
